Emotion,ResNet_F1,ViT_F1,Support
happily surprised,0.47540983606557374,0.5714285714285714,126
happily disgusted,0.288,0.32967032967032966,54
sadly fearful,0.3050847457627119,0.2857142857142857,36
sadly angry,0.2376237623762376,0.1978021978021978,44
sadly surprised,0.2702702702702703,0.2222222222222222,25
sadly disgusted,0.5587301587301587,0.5779036827195467,178
fearfully angry,0.46153846153846156,0.4864864864864865,43
fearfully surprised,0.4959349593495935,0.5882352941176471,113
fearfully disgusted,0.0,0.0,6
angrily surprised,0.35714285714285715,0.26666666666666666,44
angrily disgusted,0.5303370786516854,0.5503685503685504,194
disgustedly surprised,0.09230769230769231,0.2077922077922078,37
happily fearful,0.0,0.0,1
happily sad,0.0,0.0,8
